X,Y,Z,Roll ,Pitch,Yaw
190,30,0.034023362,-4.3,-4.12,2.45
1,-1,0,21.29,-3.84,2.21
279.5,-198.5,0,0,0,0
0,-1,0,26.68,-0.67,-1.08
0.5,-0.5,0.001221203,26.7,-0.66,-1.08
0,-0.25,0.000784212,26.76,-0.66,-1.09
6.5,2.75,0.020532086,27.11,-3.74,2.02
0,0,0,27.14,-3.78,2.02
0.25,-0.5,-0.003164954,27.04,-3.77,2.02
-116.75,-79.25,-0.331135532,19.33,-1.49,-0.7
116.75,79.25,0.08151989,27.01,-3.13,2.02
0,0,0,27.05,-3.78,2.02
-0.25,-0.75,-0.002296825,27.12,-3.78,2.02
-104.5,87.25,0,0,0,0
-0.5,-0.75,0.004596326,22.49,-3.84,2.16
-1,-0.75,0.001615069,22.59,-3.85,2.17
63.5,14,0,0,0,0
-0.75,-1.25,-0.001028558,27.02,-3.8,2.03
-171,73.5,0.122589827,23.05,-4.05,2.16
70,-4.25,0,0,0,0
-142.5,-26,0,0,0,0
-173.25,74.75,0.123643592,23,-0.93,-0.97
67.25,-6.25,0.009759759,37.81,0,0
103.75,-70.25,-1195256.932,26.61,0,0
-176.5,74.5,0.124102074,21.48,-4.12,2.21
67.75,-6.25,0.009868688,38.18,0,0
106.25,-72.25,-1229702.924,26.59,0,0
-179.5,76.25,0.124118088,20.57,-4.15,2.23
67.25,-6.5,0.013119239,38.3,0,0
109.25,-72.75,-542701.8681,26.48,0,0
-182.75,77,0.123916223,19.89,-1.07,-0.88
67.75,-5.5,0.017193689,49.66,-0.1,-1.24
112.5,-73.25,-246417.5875,26.29,-4.16,2.08
-184.5,78.75,0.123274552,19.86,-4.18,2.25
67,-5.5,0.017129304,49.53,-0.11,-1.24
15.5,-133.25,-439665.2687,19.33,-1.75,-0.7
100.5,60.5,0.072583209,26.18,-0.14,-1.05
-186,79,0.123239389,19.61,-1.07,-0.87
67,-4.25,0.007128373,38.38,-1.65,-0.46
118,-73.25,-3717918.032,26.11,-1.06,-1.04
-187,79,0.123052442,19.39,-4.21,2.28
65.5,15.75,0,0,0,0
68,-4.5,0,0,0,0
0.5,0.5,0.002617342,26.15,-3.84,2.09
0.25,0.5,-0.002093687,26.22,-3.84,2.09
0.25,-0.75,0.00200913,26.13,-3.82,2.08
0.25,-0.5,-0.000152443,26.32,-0.71,-1.05
-101,-64.5,-0.219673412,19.31,-1.4,-0.7
-257.5,127.25,0.097866027,2.29,-1.57,2.8
170.5,6.25,0.030125507,-13.88,-1.36,-0.51
0,0,0,14.8,-1.21,-0.74
-0.5,0,-0.002725569,14.85,-4.34,2.4
-0.75,-0.25,-0.001992065,14.98,-4.37,2.41
-1.25,-0.5,-0.004166804,14.85,-4.33,2.41
302.5,-197,0,0,0,0
-1,-1,-0.001444812,26.13,-0.71,-1.04
-0.5,-1.25,6.88E-05,26.15,-3.85,2.1
-1,-0.75,-0.002981415,26.12,-3.85,2.1
-97,-56.75,-0.205855973,19.37,-1.4,-0.69
96.75,56.25,0.069972847,25.99,-3.3,2.1
-1.25,-1.5,-0.000903745,26.06,-3.86,2.11
-1,-1.25,-0.004641399,26,-0.73,-1.03
-1.25,-0.75,-0.002688377,25.83,-3.85,2.11
-1,-0.75,-0.001596259,25.87,-3.89,2.13
-1.25,-0.25,-0.001077842,25.85,-0.73,-1.01
-1.5,0,-0.0026674,25.76,-0.75,-1
-202.75,74.75,0.118732189,11.41,-4.53,2.47
65.25,27.75,0,0,0,0
-0.75,1,-0.002755172,25.45,-3.88,2.15
-87.25,-54.75,-0.15617132,19.27,-1.33,-0.7
-257.5,127.25,0.097866027,2.29,-1.57,2.8
55.5,-7.5,0,0,0,0
-0.75,0.75,-0.00345097,25.25,-0.75,-0.98
-0.75,1.5,-0.000756322,25.07,-3.88,2.16
-1,1,-0.000603871,25.1,-0.77,-0.96
-0.5,0.75,-0.002267787,24.84,-3.89,2.18
-0.25,0.75,-4.22E-05,24.95,-0.77,-0.96
-210,72.25,0.118235288,9.08,-4.65,2.56
-0.75,-3.5,-0.004229284,12.86,-1.42,-0.58
-0.25,-0.25,0.00181555,12.55,-1.37,-0.59
-1,0.5,-0.006411768,12.82,-1.42,-0.58
-1,2.5,-0.004586459,13.65,-4.5,2.55
-127,-4.75,-0.0463218,5.12,-1.82,2.8
127.25,5.5,0.038505231,-15.47,-4.76,2.77
-0.25,0.5,-0.000318514,13.66,-1.3,-0.59
-0.25,0,-0.002447068,13.78,-1.26,-0.59
0.25,0.5,-0.002052036,13.56,-1.21,-0.6
-0.5,0.25,0.00085317,13.75,-1.22,-0.6
0,0.25,-0.002172008,13.55,-1.21,-0.6
-0.25,-0.25,0.004208774,13.6,-1.24,-0.59
0.25,-0.25,-0.000546586,13.47,-4.32,2.54
0.25,-0.5,-0.000358848,13.54,-1.25,-0.59
0,0.5,0.000415532,13.41,-1.25,-0.58
-71.25,-14,0,0,0,0
-0.5,-0.25,0.001643637,25.01,-3.89,2.18
0.5,0,-0.000948447,25.09,-0.76,-0.96
0,-0.5,0.001831026,25.03,-3.88,2.18
0,0,0,25.05,-3.89,2.18
0,-0.25,0.00103484,25.07,-0.76,-0.96
0.25,-0.5,0.002527555,25.08,-0.75,-0.96
0.25,-0.25,-0.000921466,25.17,-0.76,-0.96
0.5,0.25,0.000540465,24.99,-3.88,2.17
0,-0.25,-0.001409384,25.17,-0.75,-0.97
-83,-54.25,-0.137411338,19.24,-1.3,-0.7
83.5,53.25,0.059996688,25.27,-3.43,2.17
-208.5,80,0.118430423,10.11,-4.65,2.55
75,31.5,0,0,0,0
-124.75,107.5,0,0,0,0
-123.25,107.25,0.00510465,41.81,0.05,-1.36
123.75,-108,-382266.7611,25,-4.35,2.17
-210.75,84.5,0.118611416,11.8,-1.49,-0.6
80,25,0,0,0,0
80,24.25,0,0,0,0
85.75,20.75,0.030828338,72.85,0,0
124.75,-109.25,-55030.2054,-19.88,0,0
-209.75,90,0.119516497,15.21,-1.39,-0.65
85.75,17,0.037607547,33.33,0.59,-1.4
42,-157.75,-48229.91504,19.34,-1.74,-0.7
-257.5,127.25,0.097866027,2.29,-1.57,2.8
215.75,30,0.029145777,46.6,0,0
-14.25,-60.5,nan,0,0,0
